Depth (m)	NH4	Age
Midpoint	(ppb)	(yrs BP)

561.275	5.39	2587.8
561.825	3.59	2590.8
562.375	5.31	2593.9
562.925	3.78	2597.0
563.475	6.92	2600.0
564.025	8.94	2602.9
564.575	10.39	2605.9
565.125	2.89	2609.2
565.675	4.48	2612.3
566.225	6.76	2615.1
566.775	12.92	2618.0
567.325	8.33	2621.3
567.875	9.95	2624.5
568.425	6.12	2627.5
568.975	5.09	2630.4
569.525	2.7	2633.3
570.075	4.26	2636.3
570.625	7.37	2639.5
571.175	3.4	2642.6
571.725	2.59	2645.7
572.275	3.97	2648.8
572.825	7.33	2651.9
573.375	2.45	2655.0
573.925	6.24	2658.0
574.475	3.51	2660.9
575.025	4.71	2663.8
575.575	18.54	2666.9
576.125	7.43	2670.0
576.675	7.26	2673.1
577.225	5.21	2676.1
577.775	7.37	2679.0
578.325	6.25	2681.9
578.875	5.01	2685.0
579.425	12.52	2688.0
579.975	5.23	2691.2
580.525	3.84	2694.5
581.075	5.52	2697.5
581.625	2.76	2700.4
582.175	5.99	2703.4
582.725	6.05	2706.4
583.275	5.24	2709.4
583.825	13.79	2712.9
584.375	8.67	2716.1
584.925	20.23	2719.1
585.475	7.2	2722.1
586.025	15.89	2725.2
586.575	7.06	2728.2
587.125	7.66	2731.3
587.675	13.34	2734.4
588.225	5.72	2737.4
588.775	3.82	2740.5
589.325	9.11	2743.8
589.875	5.71	2747.1
590.425	3.29	2750.2
590.975	7.6	2753.3
591.525	4.57	2756.6
592.075	3.62	2759.8
592.625	7.15	2762.8
593.175	5.06	2765.8
593.725	5.89	2768.9
594.275	5.52	2771.9
594.825	12.89	2774.9
595.375	6.03	2778.1
595.925	12.41	2781.1
596.475	6.83	2784.2
597.025	5.29	2787.4
597.575	5.41	2790.4
598.125	4.56	2793.3
598.675	6.42	2796.3
599.225	3.99	2799.2
1300.475	6.42	7800.6
1301.025	6.49	7805.8
1301.575	8.91	7811.1
1302.125	32.56	7816.3
1302.675	7.34	7821.5
1303.225	12.82	7826.7
1303.775	7.68	7831.7
1304.325	7.38	7836.7
1304.875	10.99	7841.7
1305.425	5.19	7846.7
1305.975	8.2	7851.9
1306.525	8.77	7857.0
1307.075	7.31	7862.0
1307.625	6.19	7867.0
1308.175	15.04	7872.3
1308.725	6.37	7877.5
1309.275	7.03	7882.6
1309.825	8.25	7887.5
1310.375	30.5	7892.4
1310.925	4.99	7897.4
1311.475	10.47	7902.4
1312.025	10.03	7907.3
1312.575	5.61	7912.3
1313.125	8.68	7917.4
1313.675	14.21	7922.4
1314.225	9.81	7927.6
1314.775	4.7	7932.8
1315.325	6.44	7938.0
1315.875	18.51	7943.4
1316.425	16.3	7948.7
1316.975	14.34	7953.8
1317.525	22.2	7959.0
1318.075	5.39	7964.3
1318.625	20.74	7969.9
1319.175	11.81	7975.4
1319.725	9.54	7980.5
1320.275	10.37	7985.9
1320.825	9.68	7991.7
1321.375	14.23	7997.2
1321.925	8.48	8002.4
1322.475	6.73	8007.4
1323.025	8.09	8012.5
1323.575	9.45	8017.7
1324.125	6.5	8022.9
1324.675	4.72	8028.1
1325.225	7.98	8033.7
1325.775	7.96	8039.2
1326.325	7.13	8044.7
1326.875	6.27	8050.4
1327.425	7.04	8056.2
1327.975	19.3	8062.0
1328.525	9.37	8067.7
1329.075	7.81	8073.0
1329.625	6.88	8077.9
1330.175	6.28	8083.4
1330.725	7.98	8089.2
1331.275	26.43	8095.1
1331.825	11.38	8101.0
1332.375	8.39	8106.5
1332.925	15.31	8112.1
1333.475	23.61	8117.7
1334.025	12.06	8123.5
1334.575	8.93	8130.2
1335.125	11.68	8136.8
1335.675	6.17	8142.7
1336.225	8.33	8148.5
1336.775	6.06	8154.2
1337.325	5.52	8159.6
1337.875	4.63	8164.8
1338.425	10.89	8170.5
1338.975	11.06	8176.2
1339.525	8.45	8181.4
1340.075	7.73	8186.6
1340.625	6.36	8191.7
1341.175	5.7	8196.9
1341.725	5.13	8202.1
1342.275	8.54	8207.5
1342.825	6.81	8213.1
1343.375	7.03	8218.5
1343.925	9.21	8223.6
1344.475	10.11	8228.8
1345.025	10.19	8234.2
1345.575	4.93	8239.6
1346.125	13.59	8244.8
1346.675	14.78	8250.1
1347.225	9.58	8255.6
1347.775	55.47	8261.0
1348.325	23.1	8266.4
